ch_total module ch_module view pln ch
       0      0         0    0   0  0
       1      0         1    0   0  1
       2      0         2    0   0  2
       3      0         3    0   0  3
       4      0         4    0   0  4
       5      0         5    0   0  5
       6      0         6    0   0  6
       7      0         7    0   0  7
       8      0        32    0   0  8
       9      0        33    0   0  9
      10      0        34    0   0 10
      11      0        35    0   0 11
      12      0        36    0   0 12
      13      0        37    0   0 13
      14      0        38    0   0 14
      15      0        39    0   0 15
      16      1         0    0   0 16
      17      1         1    0   0 17
      18      1         2    0   0 18
      19      1         3    0   0 19
      20      1         4    0   0 20
      21      1         5    0   0 21
      22      1         6    0   0 22
      23      1         7    0   0 23
      24      1        32    0   0 24
      25      1        33    0   0 25
      26      1        34    0   0 26
      27      1        35    0   0 27
      28      1        36    0   0 28
      29      1        37    0   0 29
      30      1        38    0   0 30
      31      0         8    0   1  0
      32      0         9    0   1  1
      33      0        10    0   1  2
      34      0        11    0   1  3
      35      0        12    0   1  4
      36      0        13    0   1  5
      37      0        14    0   1  6
      38      0        15    0   1  7
      39      0        40    0   1  8
      40      0        41    0   1  9
      41      0        42    0   1 10
      42      0        43    0   1 11
      43      0        44    0   1 12
      44      0        45    0   1 13
      45      0        46    0   1 14
      46      0        47    0   1 15
      47      1         8    0   1 16
      48      1         9    0   1 17
      49      1        10    0   1 18
      50     -1        -1   -1  -1 -1
      51      1        12    0   1 20
      52      1        13    0   1 21
      53      1        14    0   1 22
      54      1        15    0   1 23
      55      1        40    0   1 24
      56      1        41    0   1 25
      57      1        42    0   1 26
      58      1        43    0   1 27
      59      1        44    0   1 28
      60      1        45    0   1 29
      61      1        46    0   1 30
      62      0        16    0   2  0
      63      0        17    0   2  1
      64      0        18    0   2  2
      65      0        19    0   2  3
      66      0        20    0   2  4
      67      0        21    0   2  5
      68      0        22    0   2  6
      69      0        23    0   2  7
      70      0        48    0   2  8
      71      0        49    0   2  9
      72      0        50    0   2 10
      73      0        51    0   2 11
      74      0        52    0   2 12
      75      0        53    0   2 13
      76      0        54    0   2 14
      77      0        55    0   2 15
      78      1        16    0   2 16
      79      1        17    0   2 17
      80      1        18    0   2 18
      81      1        19    0   2 19
