ch_total module ch_module view pln ch xy
       0      0         0    0   0  0  0
       1      0         1    0   0  1  0
       2      0         2    0   0  2  0
       3      0         3    0   0  3  0
       4      0         4    0   0  4  0
       5      0         5    0   0  5  0
       6      0         6    0   0  6  0
       7      0         7    0   0  7  0
       8      0        32    0   0  8  0
       9      0        33    0   0  9  0
      10      0        34    0   0 10  0
      11      0        35    0   0 11  0
      12      0        36    0   0 12  0
      13      0        37    0   0 13  0
      14      0        38    0   0 14  0
      15      0        39    0   0 15  0
      16      1         0    0   0 16  0
      17      1         1    0   0 17  0
      18      1         2    0   0 18  0
      19      1         3    0   0 19  0
      20      1         4    0   0 20  0
      21      1         5    0   0 21  0
      22      1         6    0   0 22  0
      23      1         7    0   0 23  0
      24      1        32    0   0 24  0
      25      1        33    0   0 25  0
      26      1        34    0   0 26  0
      27      1        35    0   0 27  0
      28      1        36    0   0 28  0
      29      1        37    0   0 29  0
      30      1        38    0   0 30  0
      31      0         8    0   1  0  1
      32      0         9    0   1  1  1
      33      0        10    0   1  2  1
      34      0        11    0   1  3  1
      35      0        12    0   1  4  1
      36      0        13    0   1  5  1
      37      0        14    0   1  6  1
      38      0        15    0   1  7  1
      39      0        40    0   1  8  1
      40      0        41    0   1  9  1
      41      0        42    0   1 10  1
      42      0        43    0   1 11  1
      43      0        44    0   1 12  1
      44      0        45    0   1 13  1
      45      0        46    0   1 14  1
      46      0        47    0   1 15  1
      47      1         8    0   1 16  1
      48      1         9    0   1 17  1
      49      1        10    0   1 18  1
      50     -1        -1   -1  -1 -1  1
      51      1        12    0   1 20  1
      52      1        13    0   1 21  1
      53      1        14    0   1 22  1
      54      1        15    0   1 23  1
      55      1        40    0   1 24  1
      56      1        41    0   1 25  1
      57      1        42    0   1 26  1
      58      1        43    0   1 27  1
      59      1        44    0   1 28  1
      60      1        45    0   1 29  1
      61      1        46    0   1 30  1
      62      0        16    0   2  0  2
      63      0        17    0   2  1  2
      64      0        18    0   2  2  2
      65      0        19    0   2  3  2
      66      0        20    0   2  4  2
      67      0        21    0   2  5  2
      68      0        22    0   2  6  2
      69      0        23    0   2  7  2
      70      0        48    0   2  8  2
      71      0        49    0   2  9  2
      72      0        50    0   2 10  2
      73      0        51    0   2 11  2
      74      0        52    0   2 12  2
      75      0        53    0   2 13  2
      76      0        54    0   2 14  2
      77      0        55    0   2 15  2
      78      1        16    0   2 16  2
      79      1        17    0   2 17  2
      80      1        18    0   2 18  2
      81      1        19    0   2 19  2
      82      1        20    0   2 20  2
      83      1        21    0   2 21  2
      84      1        22    0   2 22  2
      85      1        23    0   2 23  2
      86      1        49    0   2 24  2
      87      1        50    0   2 25  2
      88      1        51    0   2 26  2
      89      1        52    0   2 27  2
      90      1        53    0   2 28  2
      91      1        54    0   2 29  2
      92      1        55    0   2 30  2
      93      0        24    0   3  0  3
      94      0        25    0   3  1  3
      95      0        26    0   3  2  3
      96      0        27    0   3  3  3
      97      0        28    0   3  4  3
      98      0        29    0   3  5  3
      99      0        30    0   3  6  3
     100      0        31    0   3  7  3
     101      0        56    0   3  8  3
     102      0        57    0   3  9  3
     103      0        58    0   3 10  3
     104      0        59    0   3 11  3
     105      0        60    0   3 12  3
     106      0        61    0   3 13  3
     107      0        62    0   3 14  3
     108      0        63    0   3 15  3
     109      1        24    0   3 16  3
     110      1        25    0   3 17  3
     111      1        26    0   3 18  3
     112      1        27    0   3 19  3
     113      1        28    0   3 20  3
     114      1        29    0   3 21  3
     115     -1        -1   -1  -1 -1  3
     116      1        30    0   3 22  3
     117      1        31    0   3 23  3
     118      1        39    0   3 24  3
     119      1        57    0   3 25  3
     120      1        63    0   3 26  3
     121      1        59    0   3 27  3
     122      1        60    0   3 28  3
     123      1        61    0   3 29  3
     124      1        62    0   3 30  3
     125      2         0    1   0  0  4
     126      2         1    1   0  1  4
     127      2         2    1   0  2  4
     128      2         3    1   0  3  4
     129      2         4    1   0  4  4
     130      2         5    1   0  5  4
     131      2         6    1   0  6  4
     132      2         7    1   0  7  4
     133      2        32    1   0  8  4
     134      2        33    1   0  9  4
     135      2        34    1   0 10  4
     136      2        35    1   0 11  4
     137      2        36    1   0 12  4
     138      2        37    1   0 13  4
     139      2        38    1   0 14  4
     140      2        39    1   0 15  4
     141      3         0    1   0 16  4
     142      3         1    1   0 17  4
     143      3         2    1   0 18  4
     144      3         3    1   0 19  4
     145      3         4    1   0 20  4
     146      3         5    1   0 21  4
     147      3         6    1   0 22  4
     148      3         7    1   0 23  4
     149      3        32    1   0 24  4
     150      3        33    1   0 25  4
     151      3        34    1   0 26  4
     152      3        35    1   0 27  4
     153      3        37    1   0 28  4
     154      3        38    1   0 29  4
     155      3        39    1   0 30  4
     156      2         8    1   1  0  5
     157      2         9    1   1  1  5
     158      2        10    1   1  2  5
     159      2        11    1   1  3  5
     160      2        12    1   1  4  5
     161      2        13    1   1  5  5
     162      2        14    1   1  6  5
     163      2        15    1   1  7  5
     164      2        40    1   1  8  5
     165      2        41    1   1  9  5
     166      2        42    1   1 10  5
     167      2        43    1   1 11  5
     168      2        44    1   1 12  5
     169      2        45    1   1 13  5
     170      2        46    1   1 14  5
     171      2        47    1   1 15  5
     172      3         8    1   1 16  5
     173      3         9    1   1 17  5
     174      3        10    1   1 18  5
     175      3        11    1   1 19  5
     176      3        12    1   1 20  5
     177      3        13    1   1 21  5
     178      3        14    1   1 22  5
     179      3        15    1   1 23  5
     180      3        40    1   1 24  5
     181      3        41    1   1 25  5
     182      3        42    1   1 26  5
     183      3        43    1   1 27  5
     184      3        45    1   1 28  5
     185      3        46    1   1 29  5
     186      3        47    1   1 30  5
     187      2        16    1   2  0  6
     188      2        17    1   2  1  6
     189      2        18    1   2  2  6
     190      2        19    1   2  3  6
     191      2        20    1   2  4  6
     192      2        21    1   2  5  6
     193      2        22    1   2  6  6
     194      2        23    1   2  7  6
     195      2        48    1   2  8  6
     196      2        49    1   2  9  6
     197      2        50    1   2 10  6
     198      2        51    1   2 11  6
     199      2        52    1   2 12  6
     200      2        53    1   2 13  6
     201      2        54    1   2 14  6
     202      2        55    1   2 15  6
     203      3        16    1   2 16  6
     204      3        17    1   2 17  6
     205      3        18    1   2 18  6
     206      3        19    1   2 19  6
     207      3        20    1   2 20  6
     208      3        21    1   2 21  6
     209      3        22    1   2 22  6
     210      3        23    1   2 23  6
     211      3        48    1   2 24  6
     212      3        49    1   2 25  6
     213      3        50    1   2 26  6
     214      3        51    1   2 27  6
     215      3        52    1   2 28  6
     216      3        53    1   2 29  6
     217      3        54    1   2 30  6
     218      2        24    1   3  0  7
     219      2        25    1   3  1  7
     220      2        26    1   3  2  7
     221      2        27    1   3  3  7
     222      2        28    1   3  4  7
     223      2        29    1   3  5  7
     224      2        30    1   3  6  7
     225      2        31    1   3  7  7
     226      2        56    1   3  8  7
     227      2        57    1   3  9  7
     228      2        58    1   3 10  7
     229      2        59    1   3 11  7
     230      2        60    1   3 12  7
     231      2        61    1   3 13  7
     232      2        62    1   3 14  7
     233      2        63    1   3 15  7
     234      3        24    1   3 16  7
     235      3        25    1   3 17  7
     236      3        26    1   3 18  7
     237      3        27    1   3 19  7
     238      3        28    1   3 20  7
     239      3        29    1   3 21  7
     240      3        30    1   3 22  7
     241      3        31    1   3 23  7
     242      3        56    1   3 24  7
     243      3        57    1   3 25  7
     244      3        58    1   3 26  7
     245      3        59    1   3 27  7
     246      3        60    1   3 28  7
     247      3        61    1   3 29  7
     248      3        62    1   3 30  7
     249      1        11    0   1 19  1
